Company,Cluster,Industry
98821_6b5fC64d6,1,Information Technology
db0bc2A9c96#26b,2,Information Technology
41aEC1863b9b95&,15,Health Care
9$83162Af71f529,17,Materials
5097FaEDf+e28E3,8,Communication Services
e21e13fd44369_a,32,Utilities
7b4eA15Ec%e485E,26,Industrials
5238868dA9+d113,7,Financials
12%c19Eb0674d1D,32,Materials
2b91AFF1cC1$3b5,24,Communication Services
2b91AFF1cC1$3b5,24,Communication Services
%65aEDf6dA2DE76,5,Information Technology
7505bBc$16BbCC4,19,Information Technology
ba0@5FE6d15e077,1,Industrials
F7_3EF4a3543973,18,Utilities
A3Ec7*433148ed8,17,Consumer Staples
baB4_590cC74fD6,15,Health Care
Cb=8339ca806b47,11,Financials
2-368Ce8E67e27f,9,Consumer Discretionary
C29e*8aCd60f65E,7,Financials
6+Fc5cdf0a242a1,73,Utilities
38365Bc69516b9-,32,Utilities
3b+F8eebE596573,18,Consumer Discretionary
@08342383470978,28,Industrials
Fff0e7dF@6077cd,2,Information Technology
6De385212A5D-1B,8,Financials
5C0AADC96a956@1,25,Real Estate
D*788f723E8Da88,10,Financials
85D2AE6C09F*cf3,6,Financials
234e33&B1C93554,24,Consumer Discretionary
$A024fD0f3B9b4A,4,Industrials
4aaD1f@Aca9A046,9,Industrials
989597A&02497F2,18,Consumer Discretionary
F1cC37B45e+489F,8,Financials
D7cEb6319d5$a28,32,Energy
61c=404FAB99663,2,Information Technology
e91D0DF7*71fE99,12,Utilities
B%63932F4335f2e,24,Financials
5389c4201BA0!eE,9,Industrials
778287c+8b199ae,2,Information Technology
c341@997a5dE8FB,15,Health Care
00660530fAe0$7e,5,Information Technology
261C31b0be4e&B8,17,Consumer Staples
Da1BCEe24498C3-,16,Industrials
e49D43a=5C51156,54,Information Technology
f077E+b063C2dDC,12,Consumer Discretionary
50a810&2Cc6683E,18,Consumer Discretionary
0b5aBD0!0E2FF01,18,Consumer Discretionary
51bb50A66CAddD@,24,Financials
26e6F9!C0703dab,9,Industrials
B9E315307FC5@Ff,29,Financials
84Fc1a5350438b+,24,Industrials
dd79515DCB5869*,8,Information Technology
8Af02725%13dce2,24,Communication Services
d71b30c0C5e50-E,5,Information Technology
9=f7325ec3A222B,42,Real Estate
3d90F66d9b2_975,32,Energy
2ddb734a1FA66B&,22,Information Technology
A44771%272A38b0,14,Industrials
32+D296dbf059AB,15,Health Care
20FF5E23a8^75F0,32,Consumer Staples
965ED34f7196@F1,23,Consumer Staples
d2&D1E6506fAB60,5,Health Care
1a8d3c&49706570,17,Consumer Staples
A44b29b1801^da9,22,Materials
5^1E238047a47e7,6,Consumer Discretionary
2&f1e44A87Ff0CE,2,Industrials
76e137A#8e58033,40,Consumer Staples
83EB3Af$4E3d99c,15,Real Estate
eDFB_Bc76739B1d,18,Industrials
040B26B0220$6f8,2,Materials
17B0900D2!3368c,24,Industrials
3EeBBAC0dFB@127,19,Communication Services
4d432A$F760F68c,15,Health Care
595b4d0^7A29611,18,Consumer Staples
54B4+46CB68a898,8,Communication Services
f5A2#9C397b7dFc,7,Financials
0629E8294!3ed9D,63,Consumer Discretionary
38b27538a2*c267,8,Communication Services
aBB$E3b40407d7F,47,Real Estate
